Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-11-30,55362804,55362822,Balance,-327543697.58,-2400958832.56,-1420657675.65,28732911951.09,26659496816.11,26331953118.53,6,38,38,9516,T,GL,4,2.1.3.5,2025,1,2024,4,11,30
2024-11-30,55362774,55362824,Loans to International Monetary Fund,0.00,0.00,0.00,0.01,0.01,0.01,6,39,39,9517,D,GL,3,2.1.4,2025,1,2024,4,11,30
2024-11-30,55362774,55362777,U.S. Treasury Operating Cash:,null,null,null,null,null,null,6,24,24,9364,S,GL,3,2.1.1,2025,1,2024,4,11,30
2024-11-30,55362804,55362820,Receivable/Payable (-) for Interim Maintenance of Value Adjustments,1114948905.38,2638864935.89,-1099044785.76,-2493276776.96,-969360746.45,145588158.93,6,37,37,9515,D,GL,4,2.1.3.4,2025,1,2024,4,11,30
2024-11-30,55362774,55362826,Other Cash and Monetary Assets,-2464818153.38,-776600153.88,90575991.11,25987222213.27,27675440212.77,25210622059.39,6,40,40,9518,D,GL,3,2.1.5,2025,1,2024,4,11,30
2024-11-30,55362774,55362828,Total Cash and Monetary Assets,-168162423050.85,-136384951693.05,103810149271.25,1103140581912.26,1134918053270.06,966755630219.21,6,41,41,9519,T,GL,3,2.1.6,2025,1,2024,4,11,30
2024-11-30,55362771,55362829,Non-Federal Securities of the National Railroad Retirement Investment Trust,-622407673.95,-339396436.90,-1334207957.51,26130845309.02,26413856546.07,25791448872.12,6,42,42,9542,D,GL,2,2.2,2025,1,2024,4,11,30
2024-11-30,55362771,55362831,Net Activity, Guaranteed Loan Financing (See Schedule E),148653130.35,718525428.86,2121388178.84,109710179111.41,110280051409.92,110428704540.27,6,43,43,9550,D,GL,2,2.3,2025,1,2024,4,11,30
2024-11-30,55362739,55362763,Deposit Funds,-3587130774.33,-2492495898.58,-4433517917.54,33699826608.31,34794461484.06,31207330709.73,6,19,19,9350,D,GL,2,1.4,2025,1,2024,4,11,30
2024-11-30,55362739,55362766,Miscellaneous Liability Accounts (Includes Checks Outstanding Etc.),60774858.04,5352144934.39,17244556622.87,38838411523.47,44129781599.82,44190556457.86,6,20,20,9360,D,GL,2,1.5,2025,1,2024,4,11,30
2024-11-30,55362739,55362768,Total Liability Accounts,198432053346.54,479301803116.41,472536031602.84,28561715785206.80,28842585534976.70,29041017588323.18,6,21,21,9361,T,GL,2,1.6,2025,1,2024,4,11,30
2024-11-30,null,55362771,Asset Accounts (Deduct),null,null,null,null,null,null,6,22,22,9362,S,GL,1,2,2025,1,2024,4,11,30
2024-11-30,55362777,55362780,Federal Reserve Account,-164163439729.06,-128847190030.59,101962024946.66,885725421907.66,921041671606.13,756878231877.07,6,25,25,9500,D,GL,4,2.1.1.1,2025,1,2024,4,11,30
2024-11-30,55362777,55362789,Balance,-164163439729.06,-128847190030.59,101962024946.66,885725421907.66,921041671606.13,756878231877.07,6,26,26,9503,T,GL,4,2.1.1.2,2025,1,2024,4,11,30
2024-11-30,55362743,55362752,Total Federal Securities,136830955812.31,593404592228.74,647185052680.92,35229758183038.59,35686331819455.05,35823162775267.30,6,11,11,9103,T,GL,3,1.1.3,2025,1,2024,4,11,30
2024-11-30,55362743,55362744,Treasury Securities, Issued Under General Financing Authorities:,null,null,null,null,null,null,6,3,3,9032,S,GL,3,1.1.1,2025,1,2024,4,11,30
2024-11-30,55362744,55362745,Debt Held by the Public,219038706111.96,483895453756.33,513679590570.51,28307311391402.20,28572168139046.60,28791206845158.50,6,4,4,9034,D,GL,4,1.1.1.1,2025,1,2024,4,11,30
2024-11-30,55362744,55362746,Intragovernmental Holdings,-83296919435.40,138793577687.67,197665732207.53,7157361638388.69,7379452135511.76,7296155216076.36,6,5,5,9035,D,GL,4,1.1.1.2,2025,1,2024,4,11,30
2024-11-30,55362744,55362747,Total Treasury Securities Outstanding,135741786676.56,622689031444.00,711345322778.04,35464674000000.00,35951620274558.36,36087363000000.00,6,6,6,9036,T,GL,4,1.1.1.3,2025,1,2024,4,11,30
2024-11-30,55362747,55362748,Plus Premium on Treasury Securities,-741427538.22,-1419653739.57,-1188151134.05,70545883478.93,69867657277.58,69126229739.36,6,7,7,9040,D,GL,5,1.1.1.3.1,2025,1,2024,4,11,30
2024-11-30,55362747,55362749,Less Discount on Treasury Securities,-1379596673.97,27676785475.69,63355352380.07,325726158383.49,354782540533.15,353402943859.18,6,8,8,9045,D,GL,5,1.1.1.3.2,2025,1,2024,4,11,30
2024-11-30,55362747,55362750,Total Treasury Securities Net of Premium and Discount,136379955812.31,593592592228.74,646801819263.92,35209492754886.33,35666705391302.79,35803085347115.04,6,9,9,9055,T,GL,5,1.1.1.3.3,2025,1,2024,4,11,30
2024-11-30,55362804,55362818,Dollar Deposits with the IMF,634219.83,379684.31,50840460.94,-278669746.38,-278924281.90,-278290062.07,6,36,36,9513,D,GL,4,2.1.3.3,2025,1,2024,4,11,30
2024-11-30,55362792,55362800,Balance,-1206621470.83,-4360202676.02,3178206009.13,162695025840.23,159541444635.04,158334823164.21,6,30,30,9507,T,GL,4,2.1.2.3,2025,1,2024,4,11,30
2024-11-30,55362743,55362751,Agency Securities, Issued Under Special Financing Authorities (See Schedule B; for Other Agency Borrowing, See Schedule C),451000000.00,-188000000.00,383233417.00,20265428152.26,19626428152.26,20077428152.26,6,10,10,9102,D,GL,3,1.1.2,2025,1,2024,4,11,30
2024-11-30,55362753,55362754,Federal Securities Held as Investments of Government Accounts (See Schedule D),-83727425174.91,135232563141.34,194824865574.35,7138959339552.30,7357919327868.55,7274191902693.64,6,13,13,9202,D,GL,4,1.1.4.1,2025,1,2024,4,11,30
2024-11-30,55362753,55362755,Less Discount on Federal Securities Held as Investments of Government Accounts,736246821.49,25293816988.22,34747534176.71,108514467181.63,133072037348.36,133808284169.85,6,14,14,9230,D,GL,4,1.1.4.2,2025,1,2024,4,11,30
2024-11-30,55362753,55362756,Net Federal Securities Held as Investments of Government Accounts,-84463671996.40,109938746153.12,160077331397.64,7030444872370.67,7224847290520.19,7140383618523.79,6,15,15,9240,T,GL,4,1.1.4.3,2025,1,2024,4,11,30
2024-11-30,55362743,55362757,Total Borrowing from the Public,221294627808.71,483465846075.62,487107721283.28,28199313310667.92,28461484528934.86,28682779156743.51,6,16,16,9310,T,GL,3,1.1.5,2025,1,2024,4,11,30
2024-11-30,55362774,55362792,Special Drawing Rights:,null,null,null,null,null,null,6,27,27,9504,S,GL,3,2.1.2,2025,1,2024,4,11,30
2024-11-30,55362792,55362795,Total Holdings,-1206621470.83,-4360202676.02,3178206009.13,172895025840.23,169741444635.04,168534823164.21,6,28,28,9505,D,GL,4,2.1.2.1,2025,1,2024,4,11,30
2024-11-30,55362792,55362798,SDR Certificates Issued to Federal Reserve Banks,0.00,0.00,0.00,-10200000000.00,-10200000000.00,-10200000000.00,6,29,29,9506,D,GL,4,2.1.2.2,2025,1,2024,4,11,30
2024-10-31,55269281,55269379,Net Activity, Direct Loan Financing (See Schedule E),-9348165104.73,-9348165104.73,-7870644631.27,1505913771587.99,1505913771587.99,1496565606483.26,6,44,44,9555,D,GL,2,2.4,2025,1,2024,4,10,31
2024-10-31,55269281,55269381,Miscellaneous Asset Accounts,24260998.36,24260998.36,4386396.03,13297911.54,13297911.54,37558909.90,6,45,45,9561,D,GL,2,2.5,2025,1,2024,4,10,31
2024-10-31,55269281,55269383,Total Asset Accounts,23306450786.99,23306450786.99,168460950442.25,2744908675832.22,2744908675832.22,2768215126619.21,6,46,46,9562,T,GL,2,2.6,2025,1,2024,4,10,31
2024-10-31,null,55269385,Excess of Liabilities (+) or Assets (-),257563298982.88,257563298982.88,66584565430.71,25816807109374.60,25816807109374.60,26074370408357.40,6,47,47,9563,T,GL,1,3,2025,1,2024,4,10,31
2024-10-31,55269316,55269331,Dollar Deposits with the IMF,-254535.52,-254535.52,14017609.49,-278669746.38,-278669746.38,-278924281.90,6,36,36,9513,D,GL,4,2.1.3.3,2025,1,2024,4,10,31
2024-10-31,55269316,55269334,Receivable/Payable (-) for Interim Maintenance of Value Adjustments,1523916030.51,1523916030.51,48687240.12,-2493276776.96,-2493276776.96,-969360746.45,6,37,37,9515,D,GL,4,2.1.3.4,2025,1,2024,4,10,31
2024-10-31,55269316,55269337,Balance,-2073415134.98,-2073415134.98,-247996691.49,28732911951.09,28732911951.09,26659496816.11,6,38,38,9516,T,GL,4,2.1.3.5,2025,1,2024,4,10,31
2024-10-31,55269285,55269340,Loans to International Monetary Fund,0.00,0.00,0.00,0.01,0.01,0.01,6,39,39,9517,D,GL,3,2.1.4,2025,1,2024,4,10,31
2024-10-31,55269285,55269316,Reserve Position on the U.S. Quota in the IMF:,null,null,null,null,null,null,6,31,31,9508,S,GL,3,2.1.3,2025,1,2024,4,10,31
2024-10-31,55269316,55269319,U.S. Subscription to International Monetary Fund:,null,null,null,null,null,null,6,32,32,9509,S,GL,4,2.1.3.1,2025,1,2024,4,10,31
2024-10-31,55269319,55269322,Direct Quota Payments,0.00,0.00,0.00,111629078113.37,111629078113.37,111629078113.37,6,33,33,9510,D,GL,5,2.1.3.1.1,2025,1,2024,4,10,31
2024-10-31,55269319,55269325,Maintenance of Value Adjustments,-2053076629.97,-2053076629.97,-69701541.10,941910993.01,941910993.01,-1111165636.96,6,34,34,9511,D,GL,5,2.1.3.1.2,2025,1,2024,4,10,31
2024-10-31,55269316,55269328,Letter of Credit Issued to IMF,-1544000000.00,-1544000000.00,-241000000.00,-81066130631.95,-81066130631.95,-82610130631.95,6,35,35,9512,D,GL,4,2.1.3.2,2025,1,2024,4,10,31
2024-10-31,null,55269180,Liability Accounts:,null,null,null,null,null,null,6,1,1,9029,S,GL,1,1,2025,1,2024,4,10,31
2024-10-31,55269305,55269313,Balance,-3153581205.19,-3153581205.19,385338688.24,162695025840.23,162695025840.23,159541444635.04,6,30,30,9507,T,GL,4,2.1.2.3,2025,1,2024,4,10,31
2024-10-31,55269285,55269343,Other Cash and Monetary Assets,1688217999.50,1688217999.50,-55429584.61,25987222213.27,25987222213.27,27675440212.77,6,40,40,9518,D,GL,3,2.1.5,2025,1,2024,4,10,31
2024-10-31,55269285,55269346,Total Cash and Monetary Assets,31777471357.80,31777471357.80,175604698725.86,1103140581912.26,1103140581912.26,1134918053270.06,6,41,41,9519,T,GL,3,2.1.6,2025,1,2024,4,10,31
2024-10-31,55269281,55269349,Non-Federal Securities of the National Railroad Retirement Investment Trust,283011237.05,283011237.05,-664641525.46,26130845309.02,26130845309.02,26413856546.07,6,42,42,9542,D,GL,2,2.2,2025,1,2024,4,10,31
2024-10-31,55269281,55269352,Net Activity, Guaranteed Loan Financing (See Schedule E),569872298.51,569872298.51,1387151477.09,109710179111.41,109710179111.41,110280051409.92,6,43,43,9550,D,GL,2,2.3,2025,1,2024,4,10,31
2024-10-31,null,55269387,Transactions Not Applied to Current Year's Surplus or Deficit (See Schedule A for Details),-112955790.97,-112955790.97,-21014300.98,0.00,0.00,-112955790.97,6,48,48,9624,D,GL,1,4,2025,1,2024,4,10,31
2024-10-31,null,55269389,Total Budget and Off-Budget Federal Entities (Financing of Deficit (+) or Disposition of Surplus (-)),257450343191.91,257450343191.91,66563551129.73,25816807109374.60,25816807109374.60,26074257452566.50,6,49,49,9661,T,GL,1,5,2025,1,2024,4,10,31
2024-10-31,55269285,55269289,U.S. Treasury Operating Cash:,null,null,null,null,null,null,6,24,24,9364,S,GL,3,2.1.1,2025,1,2024,4,10,31
2024-10-31,55269289,55269293,Federal Reserve Account,35316249698.47,35316249698.47,175522786313.72,885725421907.66,885725421907.66,921041671606.13,6,25,25,9500,D,GL,4,2.1.1.1,2025,1,2024,4,10,31
2024-10-31,55269289,55269302,Balance,35316249698.47,35316249698.47,175522786313.72,885725421907.66,885725421907.66,921041671606.13,6,26,26,9503,T,GL,4,2.1.1.2,2025,1,2024,4,10,31
2024-10-31,55269285,55269305,Special Drawing Rights:,null,null,null,null,null,null,6,27,27,9504,S,GL,3,2.1.2,2025,1,2024,4,10,31
2024-10-31,55269305,55269308,Total Holdings,-3153581205.19,-3153581205.19,385338688.24,172895025840.23,172895025840.23,169741444635.04,6,28,28,9505,D,GL,4,2.1.2.1,2025,1,2024,4,10,31
2024-10-31,55269305,55269311,SDR Certificates Issued to Federal Reserve Banks,0.00,0.00,0.00,-10200000000.00,-10200000000.00,-10200000000.00,6,29,29,9506,D,GL,4,2.1.2.2,2025,1,2024,4,10,31
2024-10-31,null,55269281,Asset Accounts (Deduct),null,null,null,null,null,null,6,22,22,9362,S,GL,1,2,2025,1,2024,4,10,31
2024-10-31,55269281,55269285,Cash and Monetary Assets:,null,null,null,null,null,null,6,23,23,9363,S,GL,2,2.1,2025,1,2024,4,10,31
2024-10-31,55269181,55269234,Total Federal Securities,456573636416.43,456573636416.43,474297533726.50,35229758183038.59,35229758183038.59,35686331819455.05,6,11,11,9103,T,GL,3,1.1.3,2025,1,2024,4,10,31
2024-10-31,55269181,55269238,Deduct:,null,null,null,null,null,null,6,12,12,9200,S,GL,3,1.1.4,2025,1,2024,4,10,31
2024-10-31,55269238,55269242,Federal Securities Held as Investments of Government Accounts (See Schedule D),218959988316.25,218959988316.25,283534270547.68,7138959339552.30,7138959339552.30,7357919327868.55,6,13,13,9202,D,GL,4,1.1.4.1,2025,1,2024,4,10,31
2024-10-31,55269238,55269247,Less Discount on Federal Securities Held as Investments of Government Accounts,24557570166.73,24557570166.73,35283832030.86,108514467181.63,108514467181.63,133072037348.36,6,14,14,9230,D,GL,4,1.1.4.2,2025,1,2024,4,10,31
2024-10-31,55269238,55269251,Net Federal Securities Held as Investments of Government Accounts,194402418149.52,194402418149.52,248250438516.82,7030444872370.67,7030444872370.67,7224847290520.19,6,15,15,9240,T,GL,4,1.1.4.3,2025,1,2024,4,10,31
2024-10-31,55269181,55269256,Total Borrowing from the Public,262171218266.91,262171218266.91,226047095209.68,28199313310667.92,28199313310667.92,28461484528934.86,6,16,16,9310,T,GL,3,1.1.5,2025,1,2024,4,10,31
2024-10-31,55269180,55269260,Accrued Interest Payable to the Public,15154209681.70,15154209681.70,792252920.70,134069016189.65,134069016189.65,149223225871.35,6,17,17,9320,D,GL,2,1.2,2025,1,2024,4,10,31
2024-10-31,55269181,55269229,Agency Securities, Issued Under Special Financing Authorities (See Schedule B; for Other Agency Borrowing, See Schedule C),-639000000.00,-639000000.00,28116293.00,20265428152.26,20265428152.26,19626428152.26,6,10,10,9102,D,GL,3,1.1.2,2025,1,2024,4,10,31
2024-10-31,55269180,55269181,Borrowing from the Public:,null,null,null,null,null,null,6,2,2,9030,S,GL,2,1.1,2025,1,2024,4,10,31
2024-10-31,55269181,55269182,Treasury Securities, Issued Under General Financing Authorities:,null,null,null,null,null,null,6,3,3,9032,S,GL,3,1.1.1,2025,1,2024,4,10,31
2024-10-31,55269182,55269183,Debt Held by the Public,264856747644.37,264856747644.37,246079581713.41,28307311391402.20,28307311391402.20,28572168139046.60,6,4,4,9034,D,GL,4,1.1.1.1,2025,1,2024,4,10,31
2024-10-31,55269182,55269184,Intragovernmental Holdings,222090497123.07,222090497123.07,286166712691.92,7157361638388.69,7157361638388.69,7379452135511.76,6,5,5,9035,D,GL,4,1.1.1.2,2025,1,2024,4,10,31
2024-10-31,55269182,55269188,Total Treasury Securities Outstanding,486947244767.44,486947244767.44,532246294405.33,35464674000000.00,35464674000000.00,35951620274558.36,6,6,6,9036,T,GL,4,1.1.1.3,2025,1,2024,4,10,31
2024-10-31,55269188,55269221,Plus Premium on Treasury Securities,-678226201.35,-678226201.35,-603461547.53,70545883478.93,70545883478.93,69867657277.58,6,7,7,9040,D,GL,5,1.1.1.3.1,2025,1,2024,4,10,31
2024-10-31,55269188,55269222,Less Discount on Treasury Securities,29056382149.66,29056382149.66,57373415424.30,325726158383.49,325726158383.49,354782540533.15,6,8,8,9045,D,GL,5,1.1.1.3.2,2025,1,2024,4,10,31
2024-10-31,55269188,55269225,Total Treasury Securities Net of Premium and Discount,457212636416.43,457212636416.43,474269417433.50,35209492754886.33,35209492754886.33,35666705391302.79,6,9,9,9055,T,GL,5,1.1.1.3.3,2025,1,2024,4,10,31
2024-10-31,55269180,55269265,Allocations of Special Drawing Rights,-2841683130.84,-2841683130.84,-96483986.65,155795220217.45,155795220217.45,152953537086.61,6,18,18,9347,D,GL,2,1.3,2025,1,2024,4,10,31
2024-10-31,55269180,55269269,Deposit Funds,1094634875.75,1094634875.75,-7355316199.66,33699826608.31,33699826608.31,34794461484.06,6,19,19,9350,D,GL,2,1.4,2025,1,2024,4,10,31
2024-10-31,55269180,55269272,Miscellaneous Liability Accounts (Includes Checks Outstanding Etc.),5291370076.35,5291370076.35,15657967928.89,38838411523.47,38838411523.47,44129781599.82,6,20,20,9360,D,GL,2,1.5,2025,1,2024,4,10,31
2024-10-31,55269180,55269278,Total Liability Accounts,280869749769.87,280869749769.87,235045515872.96,28561715785206.80,28561715785206.80,28842585534976.70,6,21,21,9361,T,GL,2,1.6,2025,1,2024,4,10,31
2024-09-30,null,54962328,Liability Accounts:,null,null,null,null,null,null,6,1,1,9029,S,GL,1,1,2024,4,2024,3,09,30
2024-09-30,54962328,54962329,Borrowing from the Public:,null,null,null,null,null,null,6,2,2,9030,S,GL,2,1.1,2024,4,2024,3,09,30
2024-09-30,54962329,54962330,Treasury Securities, Issued Under General Financing Authorities:,null,null,null,null,null,null,6,3,3,9032,S,GL,3,1.1.1,2024,4,2024,3,09,30
2024-09-30,54962330,54962331,Debt Held by the Public,139307244943.44,1977169817587.95,2030949818033.43,26330141573814.20,28168004146458.70,28307311391402.20,6,4,4,9034,D,GL,4,1.1.1.1,2024,4,2024,3,09,30
2024-09-30,54962330,54962332,Intragovernmental Holdings,69309841435.08,320170066857.47,207472578383.00,6837191571531.22,7088051796953.61,7157361638388.69,6,5,5,9035,D,GL,4,1.1.1.2,2024,4,2024,3,09,30
2024-09-30,54962333,54962334,Plus Premium on Treasury Securities,1515900694.19,4854484723.95,-499832915.90,65691398754.98,69029982784.74,70545883478.93,6,7,7,9040,D,GL,5,1.1.1.3.1,2024,4,2024,3,09,30
2024-09-30,54962333,54962335,Less Discount on Treasury Securities,-4725429129.86,61132174453.48,87691742059.11,264593983930.01,330451587513.35,325726158383.49,6,8,8,9045,D,GL,5,1.1.1.3.2,2024,4,2024,3,09,30
2024-09-30,54962333,54962336,Total Treasury Securities Net of Premium and Discount,214858416202.57,2241062194715.89,2150230821441.42,32968430560170.39,34994634338683.70,35209492754886.33,6,9,9,9055,T,GL,5,1.1.1.3.3,2024,4,2024,3,09,30
2024-09-30,54962329,54962337,Agency Securities, Issued Under Special Financing Authorities (See Schedule B; for Other Agency Borrowing, See Schedule C),95000000.00,697739023.00,215010780.00,19567689129.26,20170428152.26,20265428152.26,6,10,10,9102,D,GL,3,1.1.2,2024,4,2024,3,09,30
2024-09-30,54962329,54962338,Total Federal Securities,214953416202.57,2241759933738.89,2150445832221.42,32987998249299.65,35014804766835.96,35229758183038.59,6,11,11,9103,T,GL,3,1.1.3,2024,4,2024,3,09,30
2024-09-30,54962329,54962339,Deduct:,null,null,null,null,null,null,6,12,12,9200,S,GL,3,1.1.4,2024,4,2024,3,09,30
2024-09-30,54962330,54962333,Total Treasury Securities Outstanding,208617086378.52,2297339884445.42,2238422396416.43,33167334000000.00,35256057000000.00,35464674000000.00,6,6,6,9036,T,GL,4,1.1.1.3,2024,4,2024,3,09,30
2024-09-30,54962379,54962389,Dollar Deposits with the IMF,-62920.88,91242788.57,-50987389.65,-369912534.95,-278606825.50,-278669746.38,6,36,36,9513,D,GL,4,2.1.3.3,2024,4,2024,3,09,30
2024-09-30,54962379,54962392,Receivable/Payable (-) for Interim Maintenance of Value Adjustments,1094820198.35,-4063219621.54,-2051129810.77,1569942844.58,-3588096975.31,-2493276776.96,6,37,37,9515,D,GL,4,2.1.3.4,2024,4,2024,3,09,30
2024-09-30,54962379,54962395,Balance,1490302112.37,-3237168839.98,636334454.43,31970080791.07,27242609838.72,28732911951.09,6,38,38,9516,T,GL,4,2.1.3.5,2024,4,2024,3,09,30
2024-09-30,54962367,54962398,Loans to International Monetary Fund,0.00,-79206205.29,-451336584.03,79206205.30,0.01,0.01,6,39,39,9517,D,GL,3,2.1.4,2024,4,2024,3,09,30
2024-09-30,54962367,54962401,Other Cash and Monetary Assets,-816742450.49,-1442920427.46,1179520339.77,26995219766.96,26369041789.99,25552299339.50,6,40,40,9518,D,GL,3,2.1.5,2024,4,2024,3,09,30
2024-09-30,54962379,54962381,U.S. Subscription to International Monetary Fund:,null,null,null,null,null,null,6,32,32,9509,S,GL,4,2.1.3.1,2024,4,2024,3,09,30
2024-09-30,54962381,54962382,Direct Quota Payments,0.00,0.00,0.00,111629078113.37,111629078113.37,111629078113.37,6,33,33,9510,D,GL,5,2.1.3.1.1,2024,4,2024,3,09,30
2024-09-30,54962381,54962384,Maintenance of Value Adjustments,810544834.90,3435586001.01,2912752550.44,-2493675008.00,131366158.11,941910993.01,6,34,34,9511,D,GL,5,2.1.3.1.2,2024,4,2024,3,09,30
2024-09-30,54962379,54962386,Letter of Credit Issued to IMF,-415000000.00,-2700778008.02,-174300895.59,-78365352623.93,-80651130631.95,-81066130631.95,6,35,35,9512,D,GL,4,2.1.3.2,2024,4,2024,3,09,30
2024-09-30,null,54962419,Transactions Not Applied to Current Year's Surplus or Deficit (See Schedule A for Details),2875565956.09,4410887038.38,-36740390.92,0.00,1535321082.29,4410887038.38,6,48,48,9624,D,GL,1,4,2024,4,2024,3,09,30
2024-09-30,null,54962421,Total Budget and Off-Budget Federal Entities (Financing of Deficit (+) or Disposition of Surplus (-)),-64263008867.74,1832816135978.04,1695239735994.37,23988836936383.40,25885916081229.20,25821653072361.50,6,49,49,9661,T,GL,1,5,2024,4,2024,3,09,30
2024-09-30,null,54962365,Asset Accounts (Deduct),null,null,null,null,null,null,6,22,22,9362,S,GL,1,2,2024,4,2024,3,09,30
2024-09-30,54962369,54962373,Balance,176212701938.43,228836065771.59,20895818153.94,656889356136.07,709512719969.23,885725421907.66,6,26,26,9503,T,GL,4,2.1.1.2,2024,4,2024,3,09,30
2024-09-30,54962367,54962374,Special Drawing Rights:,null,null,null,null,null,null,6,27,27,9504,S,GL,3,2.1.2,2024,4,2024,3,09,30
2024-09-30,54962374,54962375,Total Holdings,1244096708.27,10837216627.72,8882647936.03,162057809212.51,171650929131.96,172895025840.23,6,28,28,9505,D,GL,4,2.1.2.1,2024,4,2024,3,09,30
2024-09-30,54962374,54962376,SDR Certificates Issued to Federal Reserve Banks,0.00,-5000000000.00,0.00,-5200000000.00,-10200000000.00,-10200000000.00,6,29,29,9506,D,GL,4,2.1.2.2,2024,4,2024,3,09,30
2024-09-30,54962374,54962378,Balance,1244096708.27,5837216627.72,8882647936.03,156857809212.51,161450929131.96,162695025840.23,6,30,30,9507,T,GL,4,2.1.2.3,2024,4,2024,3,09,30
2024-09-30,54962367,54962379,Reserve Position on the U.S. Quota in the IMF:,null,null,null,null,null,null,6,31,31,9508,S,GL,3,2.1.3,2024,4,2024,3,09,30
2024-09-30,null,54962417,Excess of Liabilities (+) or Assets (-),-67138574823.83,1828405248939.66,1695276476385.29,23988836936383.40,25884380760146.90,25817242185323.10,6,47,47,9563,T,GL,1,3,2024,4,2024,3,09,30
2024-09-30,54962328,54962356,Deposit Funds,3081127083.93,3133596732.22,3125847299.56,30566236046.84,30618705695.13,33699832779.06,6,19,19,9350,D,GL,2,1.4,2024,4,2024,3,09,30
