Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-11-30,55362775,55362791,Total -- Excise Taxes,10106023210.33,528197375.24,9577825835.09,21200219244.71,1164655744.55,20035563500.16,15783780233.58,829996419.06,14953783814.52,4,40,40,314,T,RSG,2,4.5,2025,1,2024,4,11,30
2024-11-30,null,55362659,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2025,1,2024,4,11,30
2024-11-30,55362690,55362692,Federal Insurance Contributions Act Taxes,13718000000.00,null,13718000000.00,26373000000.00,null,26373000000.00,24505000000.00,null,24505000000.00,4,14,14,212,D,SRS,4,3.1.2.1,2025,1,2024,4,11,30
2024-11-30,55362690,55362694,Self-Employment Contributions Act Taxes,31000000.00,null,31000000.00,94000000.00,null,94000000.00,88000000.00,null,88000000.00,4,15,15,214,D,SRS,4,3.1.2.2,2025,1,2024,4,11,30
2024-11-30,55362690,55362702,Total -- Federal Disability Insurance Trust Fund,13749000000.00,null,13749000000.00,26467000000.00,null,26467000000.00,24593000000.00,null,24593000000.00,4,16,16,220,T,RSG,4,3.1.2.3,2025,1,2024,4,11,30
2024-11-30,55362704,55362706,Federal Insurance Contributions Act Taxes,32857000000.00,null,32857000000.00,62975000000.00,null,62975000000.00,58184000000.00,null,58184000000.00,4,18,18,222,D,SRS,4,3.1.3.1,2025,1,2024,4,11,30
2024-11-30,55362674,55362727,Total -- Employment and General Retirement,128210620519.52,-821894.17,128211442413.69,246641642489.16,-64707.86,246641707197.02,228834133923.67,189713.81,228833944209.86,4,24,24,241,T,RSG,3,3.1.5,2025,1,2024,4,11,30
2024-11-30,55362672,55362729,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,25,25,250,S,RSG,2,3.2,2025,1,2024,4,11,30
2024-11-30,55362729,55362731,Deposits by States,2602268552.45,null,2602268552.45,5098312066.57,null,5098312066.57,5448939606.55,null,5448939606.55,4,26,26,251,D,RSG,3,3.2.1,2025,1,2024,4,11,30
2024-11-30,55362729,55362733,Federal Unemployment Taxes,21788399.54,5325297.55,16463101.99,671441842.94,9698649.89,661743193.05,657668329.87,4801852.35,652866477.52,4,27,27,254,D,RSG,3,3.2.2,2025,1,2024,4,11,30
2024-11-30,55362721,55362723,Rail Pension and Supplemental Annuity,262481203.39,-407511.57,262888714.96,581494912.17,-32083.45,581526995.62,499481283.49,91872.70,499389410.79,4,22,22,235,D,RSG,4,3.1.4.1,2025,1,2024,4,11,30
2024-11-30,55362721,55362725,Social Security Equivalent Account,292139316.13,-414382.60,292553698.73,512147576.99,-32624.41,512180201.40,486652640.18,97841.11,486554799.07,4,23,23,240,D,RSG,4,3.1.4.2,2025,1,2024,4,11,30
2024-11-30,55362775,55362784,Highway Trust Fund,5359412892.24,29619000.00,5329793892.24,6513041157.00,44428000.00,6468613157.00,5238823216.90,44319000.00,5194504216.90,4,38,38,310,D,RSG,2,4.3,2025,1,2024,4,11,30
2024-11-30,55362659,55362661,Withheld,137494808818.25,null,null,282994355522.56,null,null,280905807736.50,null,null,4,2,2,102,D,SRS,2,1.1,2025,1,2024,4,11,30
2024-11-30,55362741,55362769,Total -- Other Retirement,651512078.28,null,651512078.28,1359792648.63,null,1359792648.63,1250872525.09,null,1250872525.09,4,33,33,285,T,RSG,3,3.3.3,2025,1,2024,4,11,30
2024-11-30,55362672,55362772,Total -- Social Insurance and Retirement Receipts,131486499603.94,4503403.38,131481996200.56,253779644724.86,9633942.03,253770010782.83,236262172792.97,4991566.16,236257181226.81,4,34,34,286,T,RSG,2,3.4,2025,1,2024,4,11,30
2024-11-30,null,55362775,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,35,35,300,S,RSG,1,4,2025,1,2024,4,11,30
2024-11-30,55362775,55362778,Miscellaneous Excise Taxes,3130977318.09,498578375.24,2632398942.85,12548418087.71,1120227744.55,11428190343.16,8111332016.68,785677419.06,7325654597.62,4,36,36,305,D,RSG,2,4.1,2025,1,2024,4,11,30
2024-11-30,55362775,55362781,Airport and Airway Trust Fund,1575915000.00,null,1575915000.00,2092794000.00,null,2092794000.00,2397254000.00,null,2397254000.00,4,37,37,308,D,RSG,2,4.2,2025,1,2024,4,11,30
2024-11-30,55362659,55362663,Presidential Election Campaign Fund,179526.00,null,null,1443606.00,null,null,1620891.00,null,null,4,3,3,105,D,SRS,2,1.2,2025,1,2024,4,11,30
2024-11-30,55362659,55362665,Other,14592853334.80,null,null,59464583977.64,null,null,106112863438.83,null,null,4,4,4,110,D,SRS,2,1.3,2025,1,2024,4,11,30
2024-11-30,55362659,55362667,Total -- Individual Income Taxes,152087841679.05,13633341368.40,138454500310.65,342460383106.20,35971046752.59,306489336353.61,387020292066.33,40219196028.43,346801096037.90,4,5,5,120,T,RSG,2,1.4,2025,1,2024,4,11,30
2024-11-30,null,55362669,Corporation Income Taxes,12455816730.72,3118156942.45,9337659788.27,30177067884.74,7967680042.28,22209387842.46,63243533946.73,7234311444.13,56009222502.60,4,6,6,130,D,RSG,1,2,2025,1,2024,4,11,30
2024-11-30,null,55362672,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2025,1,2024,4,11,30
2024-11-30,55362672,55362674,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2025,1,2024,4,11,30
2024-11-30,55362674,55362676,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2025,1,2024,4,11,30
2024-11-30,55362676,55362677,Federal Insurance Contributions Act Taxes,80786000000.00,null,80786000000.00,155310000000.00,null,155310000000.00,144311000000.00,null,144311000000.00,4,10,10,200,D,SRS,4,3.1.1.1,2025,1,2024,4,11,30
2024-11-30,55362676,55362679,Self-Employment Contributions Act Taxes,183000000.00,null,183000000.00,552000000.00,null,552000000.00,519000000.00,null,519000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2025,1,2024,4,11,30
2024-11-30,55362676,55362688,Total -- Federal Old-Age and Survivors Insurance Trust Fund,80969000000.00,null,80969000000.00,155862000000.00,null,155862000000.00,144830000000.00,null,144830000000.00,4,12,12,210,T,RSG,4,3.1.1.3,2025,1,2024,4,11,30
2024-11-30,55362674,55362690,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,13,13,211,S,RSG,3,3.1.2,2025,1,2024,4,11,30
2024-11-30,55362704,55362708,Self-Employment Contributions Act Taxes,81000000.00,null,81000000.00,244000000.00,null,244000000.00,241000000.00,null,241000000.00,4,19,19,224,D,SRS,4,3.1.3.2,2025,1,2024,4,11,30
2024-11-30,55362704,55362718,Total -- Federal Hospital Insurance Trust Fund,32938000000.00,null,32938000000.00,63219000000.00,null,63219000000.00,58425000000.00,null,58425000000.00,4,20,20,229,T,RSG,4,3.1.3.3,2025,1,2024,4,11,30
2024-11-30,55362741,55362765,Non-Federal Employees Retirement,1443723.28,null,1443723.28,3420680.34,null,3420680.34,1943511.47,null,1943511.47,4,32,32,284,D,RSG,3,3.3.2,2025,1,2024,4,11,30
2024-10-31,null,55269173,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2025,1,2024,4,10,31
2024-10-31,55269204,55269307,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,25,25,250,S,RSG,2,3.2,2025,1,2024,4,10,31
2024-10-31,55269341,55269370,Total -- Excise Taxes,11094196034.38,636458369.31,10457737665.07,11094196034.38,636458369.31,10457737665.07,7722985021.11,460067734.84,7262917286.27,4,40,40,314,T,RSG,2,4.5,2025,1,2024,4,10,31
2024-10-31,null,55269371,Estate and Gift Taxes,2871103662.67,94136898.16,2776966764.51,2871103662.67,94136898.16,2776966764.51,4494413653.17,33979529.37,4460434123.80,4,41,41,350,D,RSG,1,5,2025,1,2024,4,10,31
2024-10-31,null,55269372,Customs Duties,7948035493.24,650778516.99,7297256976.25,7948035493.24,650778516.99,7297256976.25,7309242734.38,406505245.69,6902737488.69,4,42,42,405,D,RSG,1,6,2025,1,2024,4,10,31
2024-10-31,null,55269373,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,43,43,800,S,RSG,1,7,2025,1,2024,4,10,31
2024-10-31,55269373,55269374,Deposit of Earnings, Federal Reserve System,295170317.65,null,295170317.65,295170317.65,null,295170317.65,133554711.00,null,133554711.00,4,44,44,805,D,RSG,2,7.1,2025,1,2024,4,10,31
2024-10-31,55269373,55269375,Universal Service Fund,696661353.07,null,696661353.07,696661353.07,null,696661353.07,662912451.24,null,662912451.24,4,45,45,807,D,RSG,2,7.2,2025,1,2024,4,10,31
2024-10-31,55269373,55269376,All Other,2052850399.80,986097.67,2051864302.13,2052850399.80,986097.67,2051864302.13,1686697370.00,2484352.98,1684213017.02,4,46,46,810,D,RSG,2,7.3,2025,1,2024,4,10,31
2024-10-31,55269373,55269377,Total -- Miscellaneous Receipts,3044682070.52,986097.67,3043695972.85,3044682070.52,986097.67,3043695972.85,2483164532.24,2484352.98,2480680179.26,4,47,47,820,T,RSG,2,7.4,2025,1,2024,4,10,31
2024-10-31,null,55269378,Total -- Receipts,355344954962.90,28574718904.80,326770236058.10,355344954962.90,28574718904.80,326770236058.10,423945559278.13,20512018358.33,403433540919.80,4,48,48,830,T,SL,1,8,2025,1,2024,4,10,31
2024-10-31,55269294,55269300,Social Security Equivalent Account,220008260.86,381758.19,219626502.67,220008260.86,381758.19,219626502.67,261882548.39,90418.75,261792129.64,4,23,23,240,D,RSG,4,3.1.4.2,2025,1,2024,4,10,31
2024-10-31,55269206,55269303,Total -- Employment and General Retirement,118431021969.64,757186.31,118430264783.33,118431021969.64,757186.31,118430264783.33,110154659020.78,175321.87,110154483698.91,4,24,24,241,T,RSG,3,3.1.5,2025,1,2024,4,10,31
2024-10-31,55269307,55269310,Deposits by States,2496043514.12,null,2496043514.12,2496043514.12,null,2496043514.12,2716581327.00,null,2716581327.00,4,26,26,251,D,RSG,3,3.2.1,2025,1,2024,4,10,31
2024-10-31,55269307,55269314,Federal Unemployment Taxes,649653443.40,4373352.34,645280091.06,649653443.40,4373352.34,645280091.06,624641000.49,null,624641000.49,4,27,27,254,D,RSG,3,3.2.2,2025,1,2024,4,10,31
2024-10-31,55269204,55269326,Other Retirement:,null,null,null,null,null,null,null,null,null,4,30,30,270,S,RSG,2,3.3,2025,1,2024,4,10,31
2024-10-31,null,55269341,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,35,35,300,S,RSG,1,4,2025,1,2024,4,10,31
2024-10-31,55269341,55269344,Miscellaneous Excise Taxes,9417440769.62,621649369.31,8795791400.31,9417440769.62,621649369.31,8795791400.31,6256606287.73,445294734.84,5811311552.89,4,36,36,305,D,RSG,2,4.1,2025,1,2024,4,10,31
2024-10-31,55269341,55269347,Airport and Airway Trust Fund,516879000.00,null,516879000.00,516879000.00,null,516879000.00,381865000.00,null,381865000.00,4,37,37,308,D,RSG,2,4.2,2025,1,2024,4,10,31
2024-10-31,55269341,55269351,Highway Trust Fund,1153628264.76,14809000.00,1138819264.76,1153628264.76,14809000.00,1138819264.76,1077451733.38,14773000.00,1062678733.38,4,38,38,310,D,RSG,2,4.3,2025,1,2024,4,10,31
2024-10-31,55269341,55269353,Black Lung Disability Trust Fund,6248000.00,null,6248000.00,6248000.00,null,6248000.00,7062000.00,null,7062000.00,4,39,39,313,D,RSG,2,4.4,2025,1,2024,4,10,31
2024-10-31,55269378,55269390,Total -- On-Budget,267733954962.90,28574718904.80,239159236058.10,267733954962.90,28574718904.80,239159236058.10,342359559278.13,20512018358.33,321847540919.80,4,49,49,840,T,SL,2,8.1,2025,1,2024,4,10,31
2024-10-31,55269378,55269393,Total -- Off-Budget,87611000000.00,null,87611000000.00,87611000000.00,null,87611000000.00,81586000000.00,null,81586000000.00,4,50,50,850,T,SL,2,8.2,2025,1,2024,4,10,31
2024-10-31,55269206,55269208,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2025,1,2024,4,10,31
2024-10-31,55269326,55269335,Total -- Other Retirement,708280570.35,null,708280570.35,708280570.35,null,708280570.35,644898768.99,null,644898768.99,4,33,33,285,T,RSG,3,3.3.3,2025,1,2024,4,10,31
2024-10-31,55269204,55269338,Total -- Social Insurance and Retirement Receipts,122293145120.92,5130538.65,122288014582.27,122293145120.92,5130538.65,122288014582.27,114210412893.44,175321.87,114210237571.57,4,34,34,286,T,RSG,2,3.4,2025,1,2024,4,10,31
2024-10-31,55269307,55269317,Railroad Unemployment Taxes,8145623.41,null,8145623.41,8145623.41,null,8145623.41,69632776.18,null,69632776.18,4,28,28,255,D,RSG,3,3.2.3,2025,1,2024,4,10,31
2024-10-31,55269307,55269323,Total -- Unemployment Insurance,3153842580.93,4373352.34,3149469228.59,3153842580.93,4373352.34,3149469228.59,3410855103.67,null,3410855103.67,4,29,29,269,T,RSG,3,3.2.4,2025,1,2024,4,10,31
2024-10-31,55269326,55269329,Federal Employees' Retirement--Employee Share,706303613.29,null,706303613.29,706303613.29,null,706303613.29,643850613.74,null,643850613.74,4,31,31,279,D,RSG,3,3.3.1,2025,1,2024,4,10,31
2024-10-31,55269326,55269332,Non-Federal Employees Retirement,1976957.06,null,1976957.06,1976957.06,null,1976957.06,1048155.25,null,1048155.25,4,32,32,284,D,RSG,3,3.3.2,2025,1,2024,4,10,31
2024-10-31,55269264,55269291,Total -- Federal Hospital Insurance Trust Fund,30281000000.00,null,30281000000.00,30281000000.00,null,30281000000.00,28037000000.00,null,28037000000.00,4,20,20,229,T,RSG,4,3.1.3.3,2025,1,2024,4,10,31
2024-10-31,55269206,55269294,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,21,21,230,S,RSG,3,3.1.4,2025,1,2024,4,10,31
2024-10-31,55269294,55269297,Rail Pension and Supplemental Annuity,319013708.78,375428.12,318638280.66,319013708.78,375428.12,318638280.66,269776472.39,84903.12,269691569.27,4,22,22,235,D,RSG,4,3.1.4.1,2025,1,2024,4,10,31
2024-10-31,55269233,55269237,Federal Insurance Contributions Act Taxes,12655000000.00,null,12655000000.00,12655000000.00,null,12655000000.00,11784000000.00,null,11784000000.00,4,14,14,212,D,SRS,4,3.1.2.1,2025,1,2024,4,10,31
2024-10-31,55269233,55269241,Self-Employment Contributions Act Taxes,63000000.00,null,63000000.00,63000000.00,null,63000000.00,59000000.00,null,59000000.00,4,15,15,214,D,SRS,4,3.1.2.2,2025,1,2024,4,10,31
2024-10-31,55269233,55269259,Total -- Federal Disability Insurance Trust Fund,12718000000.00,null,12718000000.00,12718000000.00,null,12718000000.00,11843000000.00,null,11843000000.00,4,16,16,220,T,RSG,4,3.1.2.3,2025,1,2024,4,10,31
2024-10-31,55269206,55269264,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,17,17,221,S,RSG,3,3.1.3,2025,1,2024,4,10,31
2024-10-31,55269264,55269267,Federal Insurance Contributions Act Taxes,30118000000.00,null,30118000000.00,30118000000.00,null,30118000000.00,27876000000.00,null,27876000000.00,4,18,18,222,D,SRS,4,3.1.3.1,2025,1,2024,4,10,31
2024-10-31,55269264,55269270,Self-Employment Contributions Act Taxes,163000000.00,null,163000000.00,163000000.00,null,163000000.00,161000000.00,null,161000000.00,4,19,19,224,D,SRS,4,3.1.3.2,2025,1,2024,4,10,31
2024-10-31,55269208,55269228,Total -- Federal Old-Age and Survivors Insurance Trust Fund,74893000000.00,null,74893000000.00,74893000000.00,null,74893000000.00,69743000000.00,null,69743000000.00,4,12,12,210,T,RSG,4,3.1.1.3,2025,1,2024,4,10,31
2024-10-31,55269206,55269233,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,13,13,211,S,RSG,3,3.1.2,2025,1,2024,4,10,31
2024-10-31,55269173,55269178,Withheld,145499546704.31,null,null,145499546704.31,null,null,151280721841.41,null,null,4,2,2,102,D,SRS,2,1.1,2025,1,2024,4,10,31
2024-10-31,55269173,55269179,Presidential Election Campaign Fund,1264080.00,null,null,1264080.00,null,null,1293864.00,null,null,4,3,3,105,D,SRS,2,1.2,2025,1,2024,4,10,31
2024-10-31,55269173,55269198,Other,44871730642.84,null,null,44871730642.84,null,null,85104265596.84,null,null,4,4,4,110,D,SRS,2,1.3,2025,1,2024,4,10,31
2024-10-31,55269173,55269200,Total -- Individual Income Taxes,190372541427.15,22337705384.19,168034836042.96,190372541427.15,22337705384.19,168034836042.96,236386281302.25,16477791257.28,219908490044.97,4,5,5,120,T,RSG,2,1.4,2025,1,2024,4,10,31
2024-10-31,null,55269203,Corporation Income Taxes,17721251154.02,4849523099.83,12871728054.19,17721251154.02,4849523099.83,12871728054.19,51339059141.54,3131014916.30,48208044225.24,4,6,6,130,D,RSG,1,2,2025,1,2024,4,10,31
2024-10-31,null,55269204,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2025,1,2024,4,10,31
2024-10-31,55269204,55269206,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2025,1,2024,4,10,31
2024-10-31,55269208,55269210,Federal Insurance Contributions Act Taxes,74524000000.00,null,74524000000.00,74524000000.00,null,74524000000.00,69396000000.00,null,69396000000.00,4,10,10,200,D,SRS,4,3.1.1.1,2025,1,2024,4,10,31
2024-10-31,55269208,55269212,Self-Employment Contributions Act Taxes,369000000.00,null,369000000.00,369000000.00,null,369000000.00,347000000.00,null,347000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2025,1,2024,4,10,31
2024-09-30,54962210,54962211,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2024,4,2024,3,09,30
2024-09-30,54962256,54962273,Adjustments Attributable to Prior Years-FICA,193648.31,null,193648.31,7204123829.09,null,7204123829.09,3673310372.60,null,3673310372.60,4,25,25,228,D,SRS,4,3.1.3.4,2024,4,2024,3,09,30
2024-09-30,54962308,54962315,Total -- Other Retirement,709542740.73,null,709542740.73,7953956052.72,null,7953956052.72,6903778727.32,null,6903778727.32,4,40,40,285,T,RSG,3,3.3.3,2024,4,2024,3,09,30
2024-09-30,54962210,54962317,Total -- Social Insurance and Retirement Receipts,147936695359.51,5284764078.59,142651931280.92,1714979645965.03,5421160528.63,1709558485436.40,1620931168878.44,6477396870.99,1614453772007.45,4,41,41,286,T,RSG,2,3.4,2024,4,2024,3,09,30
2024-09-30,54962319,54962321,Miscellaneous Excise Taxes,6785592059.63,500345426.04,6285246633.59,39596196929.95,-1932848926.40,41529045856.35,32036713072.53,21021035954.82,11015677117.71,4,43,43,305,D,RSG,2,4.1,2024,4,2024,3,09,30
2024-09-30,54962319,54962323,Airport and Airway Trust Fund,1879501000.00,18550663.37,1860950336.63,17383216988.91,-166701028.13,17549918017.04,22533205462.84,255720944.15,22277484518.69,4,44,44,308,D,RSG,2,4.2,2024,4,2024,3,09,30
2024-09-30,54962197,54962202,Presidential Election Campaign Fund,364209.00,null,null,21403197.00,null,null,22905207.00,null,null,4,3,3,105,D,SRS,2,1.2,2024,4,2024,3,09,30
2024-09-30,54962214,54962226,Adjustments Attrbutable to Prior Years-SECA,-2551559.18,null,-2551559.18,2930581466.21,null,2930581466.21,-1557126267.15,null,-1557126267.15,4,13,13,14360,D,SRS,4,3.1.1.4,2024,4,2024,3,09,30
2024-09-30,54962256,54962263,Self-Employment Contributions Act Taxes,4340000000.00,null,4340000000.00,26497000000.00,null,26497000000.00,22750000000.00,null,22750000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2024,4,2024,3,09,30
2024-09-30,54962256,54962267,Receipts from Railroad Retirement Board,null,null,null,645200000.00,null,645200000.00,573200000.00,null,573200000.00,4,24,24,226,D,SRS,4,3.1.3.3,2024,4,2024,3,09,30
2024-09-30,54962256,54962277,Adjustments Attributable to Prior Years-SECA,-234649.66,null,-234649.66,2663322850.95,null,2663322850.95,-233880467.25,null,-233880467.25,4,26,26,14362,D,SRS,4,3.1.3.5,2024,4,2024,3,09,30
2024-09-30,54962256,54962280,Total -- Federal Hospital Insurance Trust Fund,34253958998.65,null,34253958998.65,386857646680.04,null,386857646680.04,357762629905.35,8819.38,357762621085.97,4,27,27,229,T,RSG,4,3.1.3.6,2024,4,2024,3,09,30
2024-09-30,54962296,54962302,Railroad Unemployment Taxes,50855.85,null,50855.85,158718628.69,null,158718628.69,330715051.53,null,330715051.53,4,35,35,255,D,RSG,3,3.2.3,2024,4,2024,3,09,30
2024-09-30,54962296,54962306,Total -- Unemployment Insurance,877834194.08,13277082.04,864557112.04,48730682112.13,123965205.19,48606716906.94,49552479152.30,150249002.88,49402230149.42,4,36,36,269,T,RSG,3,3.2.4,2024,4,2024,3,09,30
2024-09-30,54962214,54962229,Total -- Federal Old-Age and Survivors Insurance Trust Fund,95287331645.39,4505636000.00,90781695645.39,1081489621797.64,4505636000.00,1076983985797.64,1025837924678.01,5395718000.00,1020442206678.01,4,14,14,210,T,RSG,4,3.1.1.5,2024,4,2024,3,09,30
2024-09-30,54962211,54962232,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2024,4,2024,3,09,30
2024-09-30,54962211,54962256,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2024,4,2024,3,09,30
2024-09-30,54962214,54962224,Adjustments Attributable to Prior Years-FICA,-259116795.43,null,-259116795.43,22854040331.43,null,22854040331.43,39378178345.15,null,39378178345.15,4,12,12,209,D,SRS,4,3.1.1.3,2024,4,2024,3,09,30
2024-09-30,54962232,54962236,Federal Insurance Contributions Act Taxes,14727000000.00,765108000.00,13961892000.00,170020000000.00,765108000.00,169254892000.00,159591391400.00,916254000.00,158675137400.00,4,16,16,212,D,SRS,4,3.1.2.1,2024,4,2024,3,09,30
2024-09-30,54962232,54962238,Self-Employment Contributions Act Taxes,1498000000.00,null,1498000000.00,9250000000.00,null,9250000000.00,8186000000.00,null,8186000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2024,4,2024,3,09,30
2024-09-30,54962232,54962246,Adjustments Attributable to Prior Years-FICA,-43788499.19,null,-43788499.19,3886385576.39,null,3886385576.39,6686719186.53,null,6686719186.53,4,18,18,219,D,SRS,4,3.1.2.3,2024,4,2024,3,09,30
2024-09-30,54962232,54962249,Adjustments Attributable to Prior Years-SECA,-433976.96,null,-433976.96,507467982.85,null,507467982.85,-234742746.37,null,-234742746.37,4,19,19,14361,D,SRS,4,3.1.2.4,2024,4,2024,3,09,30
2024-09-30,54962232,54962253,Total -- Federal Disability Insurance Trust Fund,16180777523.85,765108000.00,15415669523.85,183663853559.24,765108000.00,182898745559.24,174229367840.16,916254000.00,173313113840.16,4,20,20,220,T,RSG,4,3.1.2.5,2024,4,2024,3,09,30
